"","x"
"964",82
"965",81
"966",81
"967",80
"968",80
"969",78
"970",78
"971",74
"972",70
"973",61
"974",58
"975",57
"976",54
"977",53
"978",51
"979",51
"980",51
"981",48
"982",48
"983",46
"984",45
"985",44
"986",42
"987",39
"988",36
"989",36
"990",35
"991",33
"992",32
"993",32
"994",31
"995",29
"996",28
"997",23
"998",22
"999",20
"1000",18
"1001",17
"1002",16
"1003",14
"1004",13
"1005",13
"1006",8
"1007",6
"1008",200
"1009",95
"1010",33
"1011",17
"1012",13
"1013",11
"1014",10
"1015",10
"1016",9
"1017",8
"1018",8
"1019",7
"1020",5
"1021",5
"1022",4
"1023",4
"1024",3
"1025",3
"1026",3
"1027",2
"1028",1700
"1029",800
"1030",600
"1031",500
"1032",600
"1033",600
"1034",575
"1035",521
"1036",200
"1037",428
"1038",383
"1039",360
"1040",358
"1041",338
"1042",320
"1043",307
"1044",300
"1045",300
"1046",300
"1047",300
"1048",289
"1049",285
"1050",281
"1051",278
"1052",248
"1053",230
"1054",226
"1055",212
"1056",208
"1057",207
"1058",200
"1059",192
"1060",189
"1061",185
"1062",184
"1063",162
"1064",161
"1065",156
"1066",155
"1067",154
"1068",154
"1069",153
"1070",151
"1071",150
"1072",150
"1073",148
"1074",142
"1075",100
"1076",139
"1077",135
"1078",132
"1079",131
"1080",130
"1081",130
"1082",128
"1083",128
"1084",125
"1085",120
"1086",120
"1087",119
"1088",118
"1089",118
"1090",114
"1091",114
"1092",112
"1093",112
"1094",112
"1095",110
"1096",108
"1097",107
"1098",107
"1099",107
"1100",107
"1101",106
"1102",106
"1103",106
"1104",105
"1105",103
"1106",93
"1107",102
"1108",102
"1109",101
"1110",101
"1111",101
"1112",100
"1113",100
"1114",99
"1115",97
"1116",96
"1117",94
"1118",93
"1119",92
"1120",91
"1121",91
"1122",90
"1123",84
"1124",60
"1125",2700
"1126",230
"1127",219
"1128",217
"1129",171
"1130",125
"1131",121
"1132",115
"1133",113
"1134",110
"1135",104
"1136",100
"1137",99
"1138",98
"1139",94
"1140",90
"1141",90
"1142",90
"1143",87
"1144",80
"1145",80
"1146",78
"1147",2000
"1148",1995
"1149",1670
"1150",900
"1151",800
"1152",667
"1153",658
"1154",614
"1155",602
"1156",600
"1157",538
"1158",530
"1159",500
"1160",492
"1161",448
"1162",430
"1163",400
"1164",396
"1165",360
"1166",326
"1167",324
"1168",322
"1169",322
"1170",312
"1171",309
"1172",291
"1173",289
"1174",278
"1175",257
"1176",250
"1177",242
"1178",234
"1179",225
"1180",209
"1181",208
"1182",200
"1183",200
"1184",194
"1185",188
"1186",188
"1187",186
"1188",175
"1189",171
"1190",168
"1191",167
"1192",165
"1193",163
"1194",162
"1195",162
"1196",157
"1197",153
"1198",152
"1199",150
"1200",146
"1201",146
"1202",144
"1203",139
"1204",130
"1205",126
"1206",124
"1207",124
"1208",123
"1209",120
"1210",120
"1211",119
"1212",118
"1213",118
"1214",113
"1215",109
"1216",108
"1217",104
"1218",104
"1219",104
"1220",102
"1221",100
"1222",100
"1223",99
"1224",99
"1225",98
"1226",95
"1227",94
"1228",92
"1229",90
"1230",89
"1231",89
"1232",87
"1233",87
"1234",85
"1235",86
"1236",82
"1237",81
"1238",81
"1239",80
"1240",80
"1241",79
"1242",79
"1243",78
"1244",78
"1245",78
"1246",78
"1247",77
"1248",75
"1249",75
"1250",74
"1251",74
"1252",73
"1253",72
"1254",72
"1255",72
"1256",71
"1257",71
"1258",70
"1259",68
"1260",68
"1261",66
"1262",65
"1263",64
"1264",64
"1265",64
"1266",64
"1267",63
"1268",63
"1269",63
"1270",63
"1271",62
"1272",61
"1273",61
"1274",61
"1275",60
"1276",60
"1277",59
"1278",59
"1279",58
"1280",58
"1281",56
"1282",55
"1283",55
"1284",55
"1285",54
"1286",53
"1287",51
"1288",50
"1289",50
"1290",49
"1291",48
"1292",48
"1293",44
"1294",44
"1295",43
"1296",43
"1297",42
"1298",41
"1299",41
"1300",41
"1301",38
"1302",38
"1303",37
"1304",37
"1305",36
"1306",35
"1307",34
"1308",33
"1309",33
"1310",32
"1311",31
"1312",30
"1313",29
"1314",29
"1315",25
"1316",24
"1317",24
"1318",24
"1319",22
"1320",22
"1321",21
"1322",21
"1323",21
"1324",20
"1325",19
"1326",19
"1327",19
"1328",17
"1329",17
"1330",171000
"1331",20000
"1332",5000
"1333",2209
"1334",1129
"1335",1000
"1336",1000
"1337",941
"1338",608
"1339",502
"1340",500
"1341",423
"1342",400
"1343",356
"1344",268
"1345",250
"1346",244
"1347",238
"1348",226
"1349",200
"1350",200
"1351",169
"1352",160
"1353",145
"1354",144
"1355",140
"1356",139
"1357",139
"1358",135
"1359",128
"1360",125
"1361",125
"1362",120
"1363",180
"1364",117
"1365",115
"1366",114
"1367",112
"1368",111
"1369",111
"1370",108
"1371",107
"1372",100
"1373",100
"1374",98
"1375",98
"1376",94
"1377",94
"1378",89
"1379",84
"1380",82
"1381",81
"1382",79
"1383",78
"1384",75
"1385",74
"1386",74
"1387",73
"1388",71
"1389",70
"1390",70
"1391",69
"1392",67
"1393",65
"1394",64
"1395",62
"1396",61
"1397",61
"1398",60
"1399",60
"1400",60
"1401",60
"1402",59
"1403",58
"1404",56
"1405",56
"1406",55
"1407",54
"1408",52
"1409",51
"1410",51
"1411",50
"1412",50
"1413",50
"1414",49
"1415",48
"1416",48
"1417",47
"1418",46
"1419",45
"1420",43
"1421",42
"1422",42
"1423",39
"1424",35
"1425",35
"1426",34
"1427",33
"1428",32
"1429",32
"1430",29
"1431",28
"1432",28
"1433",28
"1434",27
"1435",26
"1436",24
"1437",24
"1438",23
"1439",23
"1440",22
"1441",20
"1442",20
"1443",20
"1444",19
"1445",17
"1446",17
"1447",15
"1448",14
"1449",14
"1450",14
"1451",13
"1452",13
"1453",13
"1454",12
"1455",12
"1456",11
"1457",11
"1458",10
"1459",10
"1460",10
"1461",10
"1462",9
"1463",9
"1464",9
"1465",9
"1466",8
"1467",8
"1468",7
"1469",7
"1470",7
"1471",7
"1472",6
"1473",6
"1474",5
"1475",5
"1476",5
"1477",5
"1478",3
"1479",3
"1480",3
"1481",3
"1482",1112
"1483",614
"1484",328
"1485",200
"1486",96
"1487",93
"1488",84
"1489",79
"1490",71
"1491",66
"1492",66
"1493",56
"1494",43
"1495",44
"1496",39
"1497",32
"1498",33
"1499",28
"1500",26
"1501",24
"1502",22
"1503",21
"1504",18
"1505",17
"1506",15
"1507",13
"1508",13
"1509",13
"1510",13
"1511",12
"1512",12
"1513",11
"1514",11
"1515",9
"1516",9
"1517",8
"1518",8
"1519",8
"1520",6
"1521",6
"1522",6
"1523",7
"1524",7
"1525",3
"1526",3
"1527",1
"1528",1
"1529",1
"1530",12000
"1531",2200
"1532",300
"1533",220
"1534",168
"1535",160
"1536",60
"1537",50
"1538",20
